Depth,Sample ID,Time,Perc.Remaining
0,1,0,100
0,1,2,0
0,1,4,0
0,1,8,0
10,1,0,100
10,1,2,0
10,1,4,0
10,1,8,0
0,2,0,100
0,2,2,100
0,2,4,100
0,2,8,40
10,2,0,100
10,2,2,100
10,2,4,100
10,2,8,97
0,3,0,100
0,3,2,0
0,3,4,0
0,3,8,0
10,3,0,100
10,3,2,0
10,3,4,0
10,3,8,0
0,4,0,100
0,4,2,0
0,4,4,0
0,4,8,0
10,4,0,100
10,4,2,0.33
10,4,4,0
10,4,8,0
0,5,0,100
0,5,2,0
0,5,4,0
0,5,8,0
10,5,0,100
10,5,2,6
10,5,4,0
10,5,8,0
0,6,0,100
0,6,2,0
0,6,4,0
0,6,8,0
10,6,0,100
10,6,2,0
10,6,4,0
10,6,8,0
0,7,0,100
0,7,2,70
0,7,4,0
0,7,8,0
10,7,0,100
10,7,2,10
10,7,4,0
10,7,8,0
0,8,0,100
0,8,2,0
0,8,4,0
0,8,8,0
10,8,0,100
10,8,2,10
10,8,4,0
10,8,8,0
0,N,0,100
0,N,2,100
0,N,4,100
0,N,8,100
0,N,0,100
10,N,0,100
10,N,2,100
10,N,4,100
10,N,8,100
0,P,0,100
0,P,2,0
0,P,4,0
0,P,8,0
10,P,0,100
10,P,2,0
10,P,4,0
10,P,8,0
