,Specimen label,Sample,Replicate,Maximum Force (N),Maximum Load (N),Tensile stress at Maximum Force (MPa),Tensile Strength (MPa),Displacement at Break (Standard; mm),Energy at Break (Standard; J),Break  Elongation (%),Tensile stress at Break (Standard; MPa),Force at Break (Standard; N),Modulus of  Elasticity (MPa),Width (mm),Thickness (mm),Yield Elongation (%),Displacement at Yield (Slope Threshold 0%; mm),Yield Stress (Mpa),Tensile stress at Yield (Slope Threshold 0%; MPa),Energy at Yield (Offset 0.2%; J),Energy at Yield (Slope Threshold 0%; J),Force at Yield (Offset 0.2%; N),Force at Yield (Slope Threshold 0%; N),Tensile strain (Displacement) at Yield (Slope Threshold 0%; %)
1,7_13,7,13,52.46,52.5,14.57,14.6,1.68,0.05,2.4,14.57,52.46,809.9,20,0.18,2.03,-----,13.39,-----,0.03,-----,48.2,-----,-----
2,7_14,7,14,52.5,52.5,14.58,14.6,4.45,0.17,6.4,14.58,52.5,768.1,20,0.18,1.99,-----,11.17,-----,0.03,-----,40.21,-----,-----
3,7_18,7,18,36.54,36.5,10.15,10.2,8.89,0.29,12.7,8.64,31.1,576.6,20,0.18,1.62,2.62,7.7,10.14,0.02,0.07,27.71,36.52,3.75
4,6_8,6,8,34.75,34.8,10.86,10.9,14.39,0.37,20.6,10.37,33.19,325.5,20,0.16,1.37,13.99,3.66,10.85,0.01,0.35,11.72,34.72,19.99
5,6_9,6,9,32.23,32.2,10.07,10.1,11.23,0.27,16,9.78,31.29,355.5,20,0.16,1.29,10.93,3.61,10.07,0.01,0.26,11.54,32.22,15.61
6,6_11,6,11,25.89,25.9,8.09,8.1,9.97,0.19,14.2,6.94,22.2,327.2,20,0.16,1.14,9.12,2.77,8.09,0,0.17,8.86,25.88,13.03
7,4_2,4,2,27.47,27.5,17.17,17.2,2.22,0.03,3.2,17.06,27.3,976.5,20,0.08,2.04,2.19,13.35,17.17,0.01,0.03,21.36,27.47,3.13
8,4_1,4,1,19.43,19.4,12.14,12.1,2.69,0.02,3.8,1.83,2.93,866.9,20,0.08,1.77,1.58,10.48,12.11,0.01,0.02,16.77,19.37,2.26
9,4_3,4,3,25.66,25.7,16.03,16,2.17,0.03,3.1,16.03,25.66,817.3,20,0.08,2.16,2.17,13.27,16.03,0.01,0.03,21.23,25.65,3.11
10,2_11,2,11,35.98,36,14.99,15,6.63,0.2,9.5,12.33,29.6,771,20,0.12,2.02,2.58,12.29,14.99,0.02,0.06,29.49,35.98,3.69
11,2_10,2,10,34.43,34.4,14.35,14.3,5.34,0.13,7.6,12.97,31.13,760.9,20,0.12,2.67,3,11.79,14.34,0.02,0.06,28.29,34.42,4.28
12,2_12,2,12,34.36,34.4,14.31,14.3,7.93,0.2,11.3,6.73,16.14,708.8,20,0.12,2.73,2.89,12.02,14.31,0.02,0.05,28.84,34.36,4.13
13,3_10,3,10,4.38,4.4,2.74,2.7,13.68,0.03,19.5,0.03,0.05,89.2,20,0.08,2.43,5.96,1.45,2.73,0,0.02,2.32,4.37,8.51
14,3_11,3,11,4.04,4,2.89,2.9,14.13,0.04,20.2,0.48,0.67,58.4,20,0.07,2.68,-----,0.93,-----,0,-----,1.3,-----,-----
15,3_12,3,12,4.94,4.9,4.11,4.1,9.57,0.04,13.7,2.36,2.84,207.5,20,0.06,1.57,7.08,1.77,4.11,0,0.03,2.12,4.94,10.12
16,5_1,5,1,2.1,2.1,0.87,0.9,7.68,0.01,11,0.61,1.47,9.5,20,0.12,6.1,-----,0.52,-----,0,-----,1.24,-----,-----
17,5_2,5,2,3.35,3.4,1.4,1.4,10.7,0.02,15.3,1.28,3.08,10.7,20,0.12,6.68,-----,0.63,-----,0,-----,1.51,-----,-----
18,5_3,5,3,13.56,13.6,1.78,1.8,14.06,0.09,20.1,1.46,11.12,11.5,20,0.38,5.13,-----,0.42,-----,0,-----,3.19,-----,-----
19,8_13,8,13,2.37,2.4,0.7,0.7,6.4,0,9.1,0,-0.01,59.6,20,0.17,1.29,1.34,0.54,0.7,0,0,1.82,2.37,1.91
20,8_16,8,16,4.07,4.1,5.08,5.1,2.29,0.01,3.3,4.92,3.94,412.5,20,0.04,1.31,1.65,3.55,5.07,0,0,2.84,4.06,2.36
21,8_17,8,17,3.49,3.5,4.37,4.4,5.41,0,7.7,-0.02,-0.02,293.3,20,0.04,2.46,-----,3.57,-----,0,-----,2.85,-----,-----
22,1_18,1,18,9.96,10,6.22,6.2,5.43,0.02,7.8,0.05,0.08,579.7,20,0.08,1.16,1.76,4.23,6.22,0,0.01,6.77,9.96,2.51
23,1_10,1,10,14.07,14.1,8.79,8.8,17.84,0.23,35.7,7.03,11.24,446.5,20,0.08,1.39,3.05,5.23,8.79,0,0.03,8.37,14.06,6.1
24,1_9,1,9,13.25,13.3,8.28,8.3,6.73,0.08,13.5,2.72,4.35,460.9,20,0.08,1.11,2.97,4.16,8.28,0,0.03,6.65,13.24,5.94
