Time,Depth,PIP #,Thickness,Modulus of  Elasticity (Young's),Yield Stress,Yield Elongation,Break  Elongation,Energy at Break (Standard),Modulus of  Elasticity (Young's),Yield Stress,Yield Elongation,Break  Elongation,Energy at Break (Standard)
0,None,N,0.1,374.55,3.47,1.38,534.4,5.29,342.9266667,3.493333333,1.526666667,373.5666667,3.696666667
0,None,A,0.1,415.7333333,4.123333333,1.7,273.0666667,3.483333333,234.6433333,4.843333333,4.183333333,421.2,3.97
0,None,B,0.02,450.2666667,5.436666667,2.033333333,47.66666667,0.123333333,360.5333333,12.5,5.13,137,2.8
0,None,C,0.06,943.9,18.94666667,3.24,15.4,0.293333333,674.8,17.1,6.32,42.3,1.1
0,None,D,0.06,246.2,4.01,2.473333333,216.4333333,1.776666667,173.0433333,5.413333333,5.33,589.0666667,6.383333333
4,Zero,N,0.1,318.7133333,5.033333333,2.38,192.0333333,2.396666667,513.325,4.63,1.24,328.15,5.56
4,Zero,A,0.1,546.9633333,5.153333333,1.79,478.0666667,4.72,632.67,6.593333333,1.873333333,432.1,5.876666667
4,Zero,B,0.02,542.46,12.43666667,5.303333333,45.66666667,0.163333333,901.3425,12.5075,2.415,91.725,0.58
4,Zero,C,0.06,1435.333333,19.27333333,1.96,51.23333333,1.066666667,2066.573333,20.19,1.533333333,83.7,3.4
4,Zero,D,0.06,315.5025,5.5275,3.0275,481.6,3.26,628.0566667,4.923333333,1.393333333,471.9,5.19
4,Ten,N,0.1,288.6633333,3.98,1.94,214.7666667,2.503333333,304.38,3.836666667,1.743333333,200.9333333,2.396666667
4,Ten,A,0.1,247.9133333,4.96,5.533333333,390.9333333,3.666666667,252.2533333,5.14,5.23,156.6,1.46
4,Ten,B,0.02,318.0333333,11.08333333,7.186666667,95.86666667,1.883333333,333.9,11.13333333,5.79,57.43333333,0.983333333
4,Ten,C,0.06,670.8,14.8,3.9,19.9,0.38,388.515,10.8,6.72,51.7,0.815
4,Ten,D,0.06,173.2166667,5.35,6.243333333,359.8,3.84,158.4433333,5.8,7.15,374.7333333,3.693333333
8,Zero,N,0.1,295.2533333,4.57,2.51,92.26666667,1.08,214.5166667,4.653333333,3.256666667,59.96666667,0.576666667
8,Zero,A,0.1,220.2366667,5.316666667,5.853333333,168.8666667,1.39,219.1133333,5.12,6.616666667,199.7,1.583333333
8,Zero,B,0.02,300.3333333,11.23333333,9.563333333,33.96666667,0.433333333,232.9333333,11.18333333,8.556666667,24.03333333,0.283333333
8,Zero,C,0.06,642.4366667,17.60666667,5.33,73.4,2.756666667,596.8266667,19.26666667,5.273333333,73.96666667,2.73
8,Zero,D,0.06,184.9833333,6.056666667,6.896666667,310.0666667,3.02,195.7833333,6.096666667,5.65,342.6333333,3.463333333
8,Ten,N,0.1,266.6966667,4.01,2.33,261.6,2.756666667,205.5766667,4.526666667,3.223333333,57.96666667,0.556666667
8,Ten,A,0.1,198.1133333,4.683333333,4.74,153.0666667,1.33,202.925,5.01,5.38,39.7,0.29
8,Ten,B,0.02,308.5,14,12.65,39.1,0.55,160.775,11.825,12.9,31.9,0.35
8,Ten,C,0.06,576.4433333,15.52333333,5.503333333,24.8,0.533333333,569.55,16.955,8.96,70.55,2.005
8,Ten,D,0.06,200.3,5.956666667,5.786666667,405.2333333,4.25,177.2666667,5.946666667,9.996666667,567.5333333,5.88
