Depth,Sample ID,Time Retrieved,weight,Post Weight (g)
NA,A,0,0.587,Pre
NA,A,0,0.788,Pre
NA,A,0,0.794,Pre
NA,B,0,0.421,Pre
NA,B,0,0.423,Pre
NA,B,0,0.423,Pre
NA,C,0,0.113,Pre
NA,C,0,0.118,Pre
NA,C,0,0.118,Pre
NA,D,0,0.492,Pre
NA,D,0,0.518,Pre
NA,D,0,0.484,Pre
NA,N,0,0.76,Pre
NA,N,0,0.716,Pre
NA,N,0,0.787,Pre
NA,P,0,0.477,Pre
NA,P,0,0.473,Pre
NA,P,0,0.491,Pre
0,A,4,0.582,Pre
0,A,4,0.643,Pre
0,A,4,0.654,Pre
0,B,4,0.106,Pre
0,B,4,0.112,Pre
0,B,4,0.122,Pre
0,C,4,0.379,Pre
0,C,4,0.354,Pre
0,C,4,0.33,Pre
0,D,4,0.395,Pre
0,D,4,0.404,Pre
0,D,4,0.404,Pre
0,N,4,0.606,Pre
0,N,4,0.584,Pre
10,A,4,0.61,Pre
10,A,4,0.535,Pre
10,A,4,0.573,Pre
10,B,4,0.083,Pre
10,B,4,0.131,Pre
10,B,4,0.086,Pre
10,C,4,0.334,Pre
10,C,4,0.306,Pre
10,C,4,0.309,Pre
10,D,4,0.391,Pre
10,D,4,0.396,Pre
10,D,4,0.371,Pre
10,N,4,0.611,Pre
10,N,4,0.556,Pre
10,N,4,0.566,Pre
0,A,8,0.604,Pre
0,A,8,0.626,Pre
0,A,8,0.593,Pre
0,B,8,0.093,Pre
0,B,8,0.091,Pre
0,B,8,0.092,Pre
0,C,8,0.348,Pre
0,C,8,0.425,Pre
0,C,8,0.33,Pre
0,D,8,0.411,Pre
0,D,8,0.4,Pre
0,D,8,0.404,Pre
0,N,8,0.585,Pre
0,N,8,0.605,Pre
0,N,8,0.594,Pre
10,A,8,0.615,Pre
10,A,8,0.593,Pre
10,A,8,0.559,Pre
10,B,8,0.1,Pre
10,B,8,0.097,Pre
10,C,8,0.334,Pre
10,C,8,0.384,Pre
10,C,8,0.317,Pre
10,D,8,0.39,Pre
10,D,8,0.405,Pre
10,D,8,0.363,Pre
10,N,8,0.6,Pre
10,N,8,0.558,Pre
10,N,8,0.547,Pre
NA,A,0,0.583,Post
NA,A,0,0.794,Post
NA,A,0,0.797,Post
NA,B,0,0.422,Post
NA,B,0,0.418,Post
NA,B,0,0.423,Post
NA,C,0,0.113,Post
NA,C,0,0.118,Post
NA,C,0,0.117,Post
NA,D,0,0.492,Post
NA,D,0,0.52,Post
NA,D,0,0.486,Post
NA,N,0,0.76,Post
NA,N,0,0.714,Post
NA,N,0,0.785,Post
NA,P,0,0,Post
NA,P,0,0,Post
NA,P,0,0,Post
0,A,4,0.588,Post
0,A,4,0.642,Post
0,A,4,0.643,Post
0,B,4,0.091,Post
0,B,4,0.106,Post
0,B,4,0.116,Post
0,C,4,0.362,Post
0,C,4,0.338,Post
0,C,4,0.333,Post
0,D,4,0.393,Post
0,D,4,0.397,Post
0,D,4,0.389,Post
0,N,4,0.604,Post
0,N,4,0.579,Post
10,A,4,0.609,Post
10,A,4,0.532,Post
10,A,4,0.576,Post
10,B,4,0.083,Post
10,B,4,0.101,Post
10,B,4,0.088,Post
10,C,4,0.325,Post
10,C,4,0.302,Post
10,C,4,0.313,Post
10,D,4,0.391,Post
10,D,4,0.39,Post
10,D,4,0.368,Post
10,N,4,0.611,Post
10,N,4,0.557,Post
10,N,4,0.564,Post
0,A,8,0.602,Post
0,A,8,0.625,Post
0,A,8,0.579,Post
0,B,8,0.092,Post
0,B,8,0.088,Post
0,B,8,0.091,Post
0,C,8,0.345,Post
0,C,8,0.413,Post
0,C,8,0.331,Post
0,D,8,0.412,Post
0,D,8,0.401,Post
0,D,8,0.403,Post
0,N,8,0.584,Post
0,N,8,0.603,Post
0,N,8,0.59,Post
10,A,8,0.616,Post
10,A,8,0.594,Post
10,A,8,0.561,Post
10,B,8,0.099,Post
10,B,8,0.1,Post
10,C,8,0.338,Post
10,C,8,0.386,Post
10,C,8,0.319,Post
10,D,8,0.393,Post
10,D,8,0.407,Post
10,D,8,0.361,Post
10,N,8,0.599,Post
10,N,8,0.558,Post
10,N,8,0.548,Post
